iter	Passed	Remaining
653	1010	534
654	1011	532
655	1012	530
656	1013	528
657	1014	527
658	1015	525
659	1016	523
660	1017	521
661	1019	520
662	1020	518
663	1021	516
664	1022	514
665	1024	513
666	1025	511
667	1026	510
668	1027	508
669	1028	506
670	1029	504
671	1030	502
672	1031	501
673	1032	499
674	1033	497
675	1034	496
676	1036	494
677	1037	492
678	1039	491
679	1039	489
680	1041	487
681	1042	485
682	1043	484
683	1044	482
684	1046	481
685	1047	479
686	1048	477
687	1049	475
688	1050	474
689	1052	472
690	1053	471
691	1054	469
692	1055	467
693	1057	466
694	1058	464
695	1059	462
696	1060	460
697	1061	459
698	1063	457
699	1064	456
700	1065	454
701	1066	452
702	1067	451
703	1069	449
704	1070	447
705	1070	445
706	1071	444
707	1072	442
708	1074	440
709	1075	439
710	1077	437
711	1078	436
712	1079	434
713	1080	432
714	1081	431
715	1083	429
716	1084	427
717	1085	426
718	1086	424
719	1087	422
720	1088	421
721	1090	419
722	1091	418
723	1092	416
724	1093	414
725	1094	413
726	1095	411
727	1096	409
728	1097	408
729	1098	406
730	1100	404
731	1101	403
732	1102	401
733	1103	400
734	1105	398
735	1106	396
736	1108	395
737	1109	393
738	1110	392
739	1111	390
740	1112	388
741	1114	387
742	1115	385
743	1116	384
744	1117	382
745	1118	380
746	1120	379
747	1121	377
748	1122	376
749	1125	375
750	1126	373
751	1127	371
752	1129	370
753	1131	369
754	1132	367
755	1133	365
756	1134	364
757	1135	362
758	1136	360
759	1137	359
760	1138	357
761	1140	356
762	1141	354
763	1142	352
764	1143	351
765	1144	349
766	1145	348
767	1146	346
768	1147	344
769	1149	343
770	1150	341
771	1151	340
772	1152	338
773	1153	336
774	1155	335
775	1156	333
776	1158	332
777	1159	330
778	1160	329
779	1161	327
780	1162	326
781	1164	324
782	1165	322
783	1166	321
784	1167	319
785	1168	318
786	1170	316
787	1171	315
788	1172	313
789	1173	311
790	1174	310
791	1175	308
792	1176	307
793	1177	305
794	1178	303
795	1180	302
796	1181	300
797	1182	299
798	1184	297
799	1185	296
800	1186	294
801	1187	293
802	1188	291
803	1189	290
804	1190	288
805	1191	286
806	1193	285
807	1194	283
808	1195	282
809	1196	280
810	1198	279
811	1199	277
812	1201	276
813	1202	274
814	1203	273
815	1204	271
816	1205	269
817	1205	268
818	1206	266
819	1207	265
820	1208	263
821	1209	261
822	1210	260
823	1212	258
824	1213	257
825	1215	256
826	1217	254
827	1218	253
828	1219	251
829	1220	250
830	1221	248
831	1222	246
832	1223	245
833	1224	243
834	1225	242
835	1226	240
836	1227	239
837	1229	237
838	1230	236
839	1231	234
840	1232	233
841	1233	231
842	1234	230
843	1236	228
844	1237	226
845	1238	225
846	1239	223
847	1240	222
848	1241	220
849	1243	219
850	1244	217
851	1245	216
852	1246	214
853	1247	213
854	1248	211
855	1249	210
856	1250	208
857	1251	207
858	1252	205
859	1254	204
860	1255	202
861	1256	201
862	1257	199
863	1259	198
864	1260	196
865	1262	195
866	1263	193
867	1264	192
868	1265	190
869	1266	189
870	1267	187
871	1268	186
872	1269	184
873	1270	183
874	1271	181
875	1272	180
876	1274	178
877	1276	177
878	1277	175
879	1278	174
880	1279	172
881	1280	171
882	1282	169
883	1283	168
884	1284	166
885	1284	165
886	1285	163
887	1286	162
888	1288	160
889	1290	159
890	1291	157
891	1292	156
892	1294	155
893	1295	153
894	1296	152
895	1297	150
896	1298	149
897	1299	147
898	1300	146
899	1301	144
900	1302	143
901	1303	141
902	1304	140
903	1305	138
904	1306	137
905	1307	135
906	1308	134
907	1310	132
908	1311	131
909	1313	129
910	1315	128
911	1316	127
912	1318	125
913	1319	124
914	1321	122
915	1323	121
916	1325	119
917	1327	118
918	1328	117
919	1330	115
920	1331	114
921	1333	112
922	1335	111
923	1337	109
924	1338	108
925	1340	107
926	1342	105
927	1343	104
928	1345	102
929	1346	101
930	1348	99
931	1350	98
932	1352	97
933	1353	95
934	1354	94
935	1355	92
936	1356	91
937	1358	89
938	1358	88
939	1360	86
940	1362	85
941	1363	83
942	1365	82
943	1367	81
944	1369	79
945	1370	78
946	1371	76
947	1372	75
948	1373	73
949	1374	72
950	1375	70
951	1376	69
952	1378	67
953	1379	66
954	1380	65
955	1381	63
956	1382	62
957	1383	60
958	1385	59
959	1386	57
960	1387	56
961	1388	54
962	1389	53
963	1390	51
964	1391	50
965	1392	49
966	1393	47
967	1394	46
968	1396	44
969	1397	43
970	1398	41
971	1399	40
972	1400	38
973	1401	37
974	1403	35
975	1404	34
976	1405	33
977	1406	31
978	1407	30
979	1408	28
980	1409	27
981	1410	25
982	1411	24
983	1412	22
984	1413	21
985	1414	20
986	1415	18
987	1416	17
988	1417	15
989	1418	14
990	1420	12
991	1421	11
992	1422	10
993	1423	8
994	1424	7
995	1425	5
996	1426	4
997	1427	2
998	1428	1
999	1429	0
